A,C,P,B,L,R,LA
3,1,60,14.9909,155.417,0.96,0
3,1,60,14.9974,155,0.92,0
3,1,60,14.9974,153.673,0.98,0
3,1,60,14.9746,154.2,1,0
3,1,60,14.9713,153.83,0.94,0
3,1,66,16.8295,151.2,1,1
3,1,66,16.8165,150.6,1,1
3,1,66,16.823,151.875,0.96,1
3,1,66,16.8068,152.2,1,1
3,1,66,16.8165,153.673,0.98,1
3,1,78,18.7007,151,1,2
3,1,78,18.7007,151.2,1,2
3,1,78,18.6942,152.083,0.96,2
3,1,78,18.6877,151.4,1,2
3,1,78,18.7105,152.2,1,2
3,1,81,18.6942,150.4,1,3
3,1,81,18.6877,150.2,1,3
3,1,81,18.717,150.6,1,3
3,1,81,18.7072,151,1,3
3,1,81,18.7007,151.02,0.98,3
3,1,87,18.9033,161.8,1,4
3,1,87,18.887,161.224,0.98,4
3,1,87,18.8838,160.6,1,4
3,1,87,18.8968,161,1,4
3,1,87,18.8935,161,1,4
3,1,90,21.6595,210.8,1,5
3,1,90,21.6627,210.8,1,5
3,1,90,21.666,211,1,5
3,1,90,21.6823,211.6,1,5
3,1,90,21.6758,211.8,1,5
3,2,60,13.0188,113,1,6
3,2,60,13.0416,111.2,1,6
3,2,60,13.0416,112.2,1,6
3,2,60,13.0416,111.6,1,6
3,2,60,13.0578,113.8,1,6
3,2,66,16.849,121.458,0.96,7
3,2,66,16.8165,120.408,0.98,7
3,2,66,16.8198,120.8,1,7
3,2,66,16.8198,121.458,0.96,7
3,2,66,16.8328,121,1,7
3,2,78,18.7072,110.204,0.98,8
3,2,78,18.7007,111.2,1,8
3,2,78,18.7105,111,1,8
3,2,78,18.6975,110.4,1,8
3,2,78,18.7105,110.8,1,8
3,2,84,24.9968,111.2,1,9
3,2,84,25.0131,111,1,9
3,2,84,25.0098,112.2,1,9
3,2,84,25.0001,110.4,1,9
3,2,84,24.987,110.6,1,9
3,2,87,19.2205,120,1,10
3,2,87,19.2303,121,1,10
3,2,87,19.2498,120.8,1,10
3,2,87,19.2466,121.02,0.98,10
3,2,87,19.2758,121.4,1,10
