A,C,P,B,L,R,LA
3,1,60,14.9778,152.857,0.98,0
3,1,60,14.9746,154.49,0.98,0
3,1,60,15.0039,155.2,1,0
3,1,60,14.9486,152.708,0.96,0
3,1,60,15.0332,156.522,0.92,0
3,1,60,14.9811,154.694,0.98,0
3,1,60,14.9713,154.375,0.96,0
3,1,60,14.9518,151.429,0.98,0
3,1,60,14.9518,152.273,0.88,0
3,1,60,14.9388,153.333,0.9,0
3,1,60,14.9551,152.708,0.96,0
3,1,60,14.9681,152.826,0.92,0
3,1,60,15.0169,155.306,0.98,0
3,1,60,14.9388,151.429,0.98,0
3,1,60,15.0136,154.082,0.98,0
3,1,60,14.9713,153.404,0.94,0
3,1,60,14.9616,152.245,0.98,0
3,1,60,14.9583,150.816,0.98,0
3,1,60,14.9518,152.041,0.98,0
3,1,60,14.9551,152.128,0.94,0
3,1,60,14.9681,153.958,0.96,0
3,1,60,14.9518,153.333,0.96,0
3,1,60,14.9648,153.2,1,0
3,1,60,15.0006,154.8,1,0
3,1,60,15.0039,154.043,0.94,0
3,1,60,15.0429,156.531,0.98,0
3,1,60,14.9941,154.468,0.94,0
3,1,60,14.9811,155.208,0.96,0
3,1,60,14.9876,154.286,0.98,0
3,1,60,14.9681,150.612,0.98,0
3,1,60,14.9811,152.041,0.98,0
3,1,60,15.0169,155.319,0.94,0
3,1,60,15.0104,154.681,0.94,0
3,1,60,14.9844,154.6,1,0
3,1,60,14.9616,152,1,0
3,1,60,15.0104,156.122,0.98,0
3,1,60,14.9616,151.875,0.96,0
3,1,60,14.9876,152.041,0.98,0
3,1,66,16.8425,150.625,0.96,1
3,1,66,16.8425,151.4,1,1
3,1,66,16.81,151.4,1,1
3,1,66,16.8035,151,1,1
3,1,66,16.8328,151,1,1
3,1,66,16.8295,152.041,0.98,1
3,1,66,16.8295,151.458,0.96,1
3,1,66,16.8068,151.667,0.96,1
3,1,66,16.8133,153,1,1
3,1,66,16.8133,150.8,1,1
3,1,66,16.8198,151.2,1,1
3,1,66,16.836,153.8,1,1
3,1,66,16.8425,153.2,1,1
3,1,66,16.8198,152.041,0.98,1
3,1,66,16.8198,151.224,0.98,1
3,1,66,16.8393,151.875,0.96,1
3,1,66,16.8295,150.816,0.98,1
3,1,66,16.8133,153,1,1
3,1,66,16.8425,150.8,1,1
3,1,66,16.823,150.816,0.98,1
3,1,66,16.8263,152.2,1,1
3,1,66,16.8165,153,1,1
3,1,66,16.8198,152.041,0.98,1
3,1,66,16.8198,152.8,1,1
3,1,66,16.849,153.8,1,1
3,1,66,16.823,151.489,0.94,1
3,1,66,16.8295,153.542,0.96,1
3,1,66,16.8198,150.816,0.98,1
3,1,66,16.8295,150.6,1,1
3,1,66,16.8263,150.612,0.98,1
3,1,66,16.8263,152.449,0.98,1
3,1,66,16.81,152.2,1,1
3,1,66,16.8263,151.4,1,1
3,1,66,16.8003,151,1,1
3,1,66,16.8263,153,1,1
3,1,66,16.823,152.6,1,1
3,1,66,16.8133,150.6,1,1
3,1,66,16.8165,151.8,1,1
3,1,78,18.6845,151.224,0.98,2
3,1,78,18.678,150.8,1,2
3,1,78,18.691,150,1,2
3,1,78,18.717,151.4,1,2
3,1,78,18.7105,150.8,1,2
3,1,78,18.691,151.4,1,2
3,1,78,18.704,150.816,0.98,2
3,1,78,18.691,150.816,0.98,2
3,1,78,18.704,151.4,1,2
3,1,78,18.7105,152,1,2
3,1,78,18.6942,150.6,1,2
3,1,78,18.6975,151.4,1,2
3,1,78,18.7137,150.6,1,2
3,1,78,18.6942,152,1,2
3,1,78,18.7137,150.4,1,2
3,1,78,18.6747,150.625,0.96,2
3,1,78,18.7072,150.8,1,2
3,1,78,18.6812,153.2,1,2
3,1,78,18.691,152.8,1,2
3,1,78,18.6942,151.2,1,2
3,1,78,18.7105,151.633,0.98,2
3,1,78,18.717,151,1,2
3,1,78,18.704,151.224,0.98,2
3,1,78,18.6845,150.625,0.96,2
3,1,78,18.7007,151.224,0.98,2
3,1,78,18.691,154.4,1,2
3,1,78,18.6812,151.8,1,2
3,1,78,18.7007,150.6,1,2
3,1,78,18.7105,151.4,1,2
3,1,78,18.6942,153,1,2
3,1,78,18.7007,150.8,1,2
3,1,78,18.7105,150.816,0.98,2
3,1,78,18.6942,151.2,1,2
3,1,78,18.6975,151.4,1,2
3,1,78,18.6975,151.429,0.98,2
3,1,78,18.691,153,1,2
3,1,78,18.6942,151.4,1,2
3,1,78,18.6845,151,1,2
3,1,81,18.691,150.204,0.98,3
3,1,81,18.7268,152,1,3
3,1,81,18.7072,150.625,0.96,3
3,1,81,18.7203,150.6,1,3
3,1,81,18.7007,150.408,0.98,3
3,1,81,18.717,150.4,1,3
3,1,81,18.691,150.4,1,3
3,1,81,18.6845,150.408,0.98,3
3,1,81,18.6877,150,0.98,3
3,1,81,18.7137,151.633,0.98,3
3,1,81,18.6975,150.6,1,3
3,1,81,18.6975,151.2,1,3
3,1,81,18.7203,151.633,0.98,3
3,1,81,18.6877,150.2,1,3
3,1,81,18.6942,150.417,0.96,3
3,1,81,18.7528,150.816,0.98,3
3,1,81,18.7007,150.4,1,3
3,1,81,18.691,150.4,1,3
3,1,81,18.6812,150.8,1,3
3,1,81,18.7007,150.4,1,3
3,1,81,18.717,150.408,0.98,3
3,1,81,18.7007,151.429,0.98,3
3,1,81,18.717,150.8,1,3
3,1,81,18.7007,150.4,1,3
3,1,81,18.6812,150.2,1,3
3,1,81,18.7365,152,1,3
3,1,81,18.691,150.612,0.98,3
3,1,81,18.6942,150.6,1,3
3,1,81,18.691,150.2,1,3
3,1,81,18.7105,150.8,1,3
3,1,81,18.7007,150.4,1,3
3,1,81,18.7072,151.633,0.98,3
3,1,81,18.7105,151.4,1,3
3,1,81,18.691,150.4,1,3
3,1,81,18.6975,151.224,0.98,3
3,1,81,18.7007,150.208,0.96,3
3,1,81,18.704,150.6,1,3
3,1,81,18.6975,150.4,1,3
3,1,87,18.9065,161.2,1,4
3,1,87,18.8707,160.2,1,4
3,1,87,18.9163,161,1,4
3,1,87,18.8773,160.8,1,4
3,1,87,18.874,160.8,1,4
3,1,87,18.8838,161.2,1,4
3,1,87,18.887,160.6,1,4
3,1,87,18.8805,161.2,1,4
3,1,87,18.8935,160.816,0.98,4
3,1,87,18.8968,160.6,1,4
3,1,87,18.887,160.8,1,4
3,1,87,18.8935,161,1,4
3,1,87,18.8707,160.204,0.98,4
3,1,87,18.9163,163.2,1,4
3,1,87,18.8773,160.2,1,4
3,1,87,18.874,160.2,1,4
3,1,87,18.8903,160.4,1,4
3,1,87,18.9033,162.2,1,4
3,1,87,18.8805,160.8,1,4
3,1,87,18.8838,160.2,1,4
3,1,87,18.8838,160.6,1,4
3,1,87,18.8675,160.6,1,4
3,1,87,18.8707,160.816,0.98,4
3,1,87,18.8707,160.4,1,4
3,1,87,18.8805,160.6,1,4
3,1,87,18.8838,160.8,1,4
3,1,87,18.8675,161,1,4
3,1,87,18.9228,160.816,0.98,4
3,1,87,18.8675,160.4,1,4
3,1,87,18.874,160.2,1,4
3,1,87,18.9,160.612,0.98,4
3,1,87,18.874,160.4,1,4
3,1,87,18.8805,160.6,1,4
3,1,87,18.926,160.2,1,4
3,1,87,18.8805,160,1,4
3,1,87,18.9195,161.4,1,4
3,1,87,18.9,161.02,0.98,4
3,1,87,18.8707,160.8,1,4
3,1,90,21.666,210.8,1,5
3,1,90,21.6595,210.2,1,5
3,1,90,21.653,211,1,5
3,1,90,21.6758,210.6,1,5
3,1,90,21.6562,210.6,1,5
3,1,90,21.6758,210.6,1,5
3,1,90,21.6497,211,1,5
3,1,90,21.6562,210.8,1,5
3,1,90,21.6725,210.8,1,5
3,1,90,21.6855,211.224,0.98,5
3,1,90,21.666,211.2,1,5
3,1,90,21.6432,210.816,0.98,5
3,1,90,21.6497,210,1,5
3,1,90,21.6888,210.6,1,5
3,1,90,21.6725,211,1,5
3,1,90,21.679,210.816,0.98,5
3,1,90,21.6758,210.6,1,5
3,1,90,21.692,210.8,1,5
3,1,90,21.679,211.6,1,5
3,1,90,21.6595,210,1,5
3,1,90,21.6595,210.4,1,5
3,1,90,21.679,210.8,1,5
3,1,90,21.6692,211,1,5
3,1,90,21.6627,210.6,1,5
3,1,90,21.6627,210.6,1,5
3,1,90,21.6595,210.2,1,5
3,1,90,21.6627,210.6,1,5
3,1,90,21.6562,210.8,1,5
3,1,90,21.666,211.6,1,5
3,1,90,21.6627,210.4,1,5
3,1,90,21.6595,210.6,1,5
3,1,90,21.679,211.8,1,5
3,1,90,21.6562,210.4,1,5
3,1,90,21.6692,211.2,1,5
3,1,90,21.6725,211.8,1,5
3,1,90,21.666,210.6,1,5
3,1,90,21.679,211.8,1,5
3,1,90,21.6595,211.2,1,5
3,2,60,13.0709,113.265,0.98,6
3,2,60,13.0546,112.857,0.98,6
3,2,60,13.0513,113.8,1,6
3,2,60,13.0188,112.857,0.98,6
3,2,60,13.0448,112.8,1,6
3,2,60,13.0221,111,1,6
